Employee Id,Employee Name,Employee Age,Designation,Contact Number
Emp1,Vinoth,23,Fluter Developer,3453443784
Emp2,Navin,22,React Developer,6363788932
Emp3,Athiyaman,23,Python Developer,7373456782
Emp4,Sachin,20,Fluter Developer,7363456432
Emp5,Saran,21,Python Developer,9344291466
Emp6,Poovarasan,27,Senior Developer,7341576892
Emp7,Murali,42,GM,9561345289
Emp8,Manikandan,48,PDM,8765785620
Emp9,Lakshmi,27,Python Senior Developer,9786786549
Emp10,Gokul,30,DotNet,7356876599
Emp11,Daya,29,Team Lead,7898775659
Emp12,Sarath,28,React Senior Developer,6789654470
